insight_id,filter,filter_value,insight_key,feature,feature_display,metric,metric_display,direction,effect_size,effect_size_cohen_d,evidence_uplift_pp,evidence_n_has,evidence_n_abs,evidence_baseline_pp,evidence_sig,evidence_p_value,quality_flags,confidence,text
05d65a37,Global,Global,Feature,indoors,Indoors,Uniqueness_T2B,Uniqueness,positive,medium,0.252,3.97,1673,3018,55.96,***,0.0,multiple_testing_risk,high,Indoors is associated with 4.0pp higher Uniqueness (n=1673 with feature; ***).
87e07bb4,Global,Global,Feature,indoors,Indoors,Shareability_T2B,Shareability,positive,small,0.18,3.17,1669,3015,42.88,***,0.0,multiple_testing_risk,high,Indoors is associated with 3.2pp higher Shareability (n=1669 with feature; ***).
b74c2231,Global,Global,Feature,indoors,Indoors,SCD_score,SCD Score,positive,small,0.102,2.56,1605,2803,48.99,***,0.00088,multiple_testing_risk,high,Indoors is associated with 2.6pp higher SCD Score (n=1605 with feature; ***).
05a20716,Global,Global,Feature,outdoors,Outdoors,Attention_T2B,Attention,positive,medium,0.21,3.34,734,3957,58.94,***,0.0,multiple_testing_risk,high,Outdoors is associated with 3.3pp higher Attention (n=734 with feature; ***).
0b6688c0,Global,Global,Feature,outdoors,Outdoors,Persuasion_T2B,Persuasion,positive,small,0.101,1.75,734,3957,54.74,**,0.0076,multiple_testing_risk,high,Outdoors is associated with 1.8pp higher Persuasion (n=734 with feature; **).
619cecc6,Global,Global,Feature,outdoors,Outdoors,Likeability_Love_Like_T2B,Likeability,positive,medium,0.243,4.23,734,3957,55.68,***,0.0,multiple_testing_risk,high,Outdoors is associated with 4.2pp higher Likeability (n=734 with feature; ***).
a1106905,Global,Global,Feature,outdoors,Outdoors,Experience_Recall_T2B,Recall,positive,medium,0.221,4.04,736,3961,36.42,***,0.0,multiple_testing_risk,high,Outdoors is associated with 4.0pp higher Recall (n=736 with feature; ***).
fe13d7e3,Global,Global,Feature,outdoors,Outdoors,Brand_Linkage_T2B,Brand Linkage,positive,small,0.118,1.73,734,3957,53.78,***,0.0008,multiple_testing_risk,high,Outdoors is associated with 1.7pp higher Brand Linkage (n=734 with feature; ***).
652239f8,Global,Global,Feature,outdoors,Outdoors,Uniqueness_T2B,Uniqueness,positive,medium,0.247,3.93,734,3957,56.76,***,0.0,multiple_testing_risk,high,Outdoors is associated with 3.9pp higher Uniqueness (n=734 with feature; ***).
e6d1f941,Global,Global,Feature,outdoors,Outdoors,Shareability_T2B,Shareability,positive,small,0.13,2.3,733,3951,43.65,***,0.00092,multiple_testing_risk,high,Outdoors is associated with 2.3pp higher Shareability (n=733 with feature; ***).
cad20491,Global,Global,Feature,outdoors,Outdoors,SCD_score,SCD Score,positive,medium,0.284,7.15,692,3716,48.8,***,0.0,multiple_testing_risk,high,Outdoors is associated with 7.1pp higher SCD Score (n=692 with feature; ***).
20395f86,Global,Global,Feature,color_spectrum,Color Spectrum,Attention_T2B,Attention,positive,small,0.178,2.82,4176,515,56.95,***,0.00017,multiple_testing_risk,high,Color Spectrum is associated with 2.8pp higher Attention (n=4176 with feature; ***).
b3816827,Global,Global,Feature,color_spectrum,Color Spectrum,Persuasion_T2B,Persuasion,positive,small,0.165,2.81,4176,515,52.5,***,0.00045,multiple_testing_risk,high,Color Spectrum is associated with 2.8pp higher Persuasion (n=4176 with feature; ***).
97099ec0,Global,Global,Feature,color_spectrum,Color Spectrum,Likeability_Love_Like_T2B,Likeability,positive,medium,0.22,3.83,4176,515,52.93,***,1e-05,multiple_testing_risk,high,Color Spectrum is associated with 3.8pp higher Likeability (n=4176 with feature; ***).
71d53c2a,Global,Global,Feature,color_spectrum,Color Spectrum,Experience_Recall_T2B,Recall,positive,medium,0.234,4.09,4182,515,33.42,***,0.0,multiple_testing_risk,high,Color Spectrum is associated with 4.1pp higher Recall (n=4182 with feature; ***).
7f177d12,Global,Global,Feature,color_spectrum,Color Spectrum,Brand_Linkage_T2B,Brand Linkage,positive,medium,0.263,3.75,4176,515,50.71,***,0.0,multiple_testing_risk,high,Color Spectrum is associated with 3.7pp higher Brand Linkage (n=4176 with feature; ***).
274ff5ed,Global,Global,Feature,color_spectrum,Color Spectrum,Uniqueness_T2B,Uniqueness,positive,small,0.15,2.4,4176,515,55.24,**,0.00333,multiple_testing_risk,high,Color Spectrum is associated with 2.4pp higher Uniqueness (n=4176 with feature; **).
0256b6e8,Global,Global,Feature,color_spectrum,Color Spectrum,Shareability_T2B,Shareability,positive,small,0.111,1.94,4169,515,42.29,*,0.02395,multiple_testing_risk,medium,Color Spectrum is associated with 1.9pp higher Shareability (n=4169 with feature; *).
34c60ade,Global,Global,Feature,color_spectrum,Color Spectrum,SCD_score,SCD Score,positive,medium,0.36,8.92,3973,435,41.88,***,0.0,multiple_testing_risk,high,Color Spectrum is associated with 8.9pp higher SCD Score (n=3973 with feature; ***).
