feature,metric,uplift_pp,n_has,n_abs,sig,p_value,cohen_d,baseline_mean,has_mean,quality_flags,scope,scope_value
outdoors,Attention_T2B,3.336294716292787,734,3957,***,2.538503873484672e-08,0.21037936098310567,58.939500379075064,62.27579509536785,multiple_testing_risk,Global,Global
outdoors,Persuasion_T2B,1.7530512089774297,734,3957,**,0.007602794272658003,0.10131540088213133,54.73545274197625,56.488503950953685,multiple_testing_risk,Global,Global
outdoors,Likeability_Love_Like_T2B,4.228590163742519,734,3957,***,1.84123271370298e-09,0.24297530945874038,55.675331362143034,59.90392152588555,multiple_testing_risk,Global,Global
outdoors,Experience_Recall_T2B,4.03740444932521,736,3961,***,1.516824235423247e-07,0.22109394802244461,36.42338780610957,40.46079225543478,multiple_testing_risk,Global,Global
outdoors,Brand_Linkage_T2B,1.7304784185443123,734,3957,***,0.0007957189830576046,0.11803399467188372,53.779151554207736,55.50962997275205,multiple_testing_risk,Global,Global
outdoors,Uniqueness_T2B,3.928224426997584,734,3957,***,2.2306284711707366e-10,0.2471979081520018,56.75913047763457,60.68735490463215,multiple_testing_risk,Global,Global
outdoors,Shareability_T2B,2.3000650465818784,733,3951,***,0.0009184094912222258,0.12996411813423686,43.65450453049861,45.95456957708049,multiple_testing_risk,Global,Global
outdoors,SCD_score,7.1475251217979485,692,3716,***,1.5425861740928054e-11,0.2841440018764897,48.796159849300324,55.94368497109827,multiple_testing_risk,Global,Global
color_spectrum,Attention_T2B,2.81601556425064,4176,515,***,0.00017221228187812017,0.17775840519360925,56.95466970873787,59.77068527298851,multiple_testing_risk,Global,Global
color_spectrum,Persuasion_T2B,2.8147349604768945,4176,515,***,0.0004451786515863779,0.16493252209269324,52.5040322330097,55.31876719348659,multiple_testing_risk,Global,Global
color_spectrum,Likeability_Love_Like_T2B,3.831087503719821,4176,515,***,6.078784469500841e-06,0.21971685626703422,52.9264854368932,56.757572940613024,multiple_testing_risk,Global,Global
color_spectrum,Experience_Recall_T2B,4.089002610912224,4182,515,***,2.1843198320615273e-07,0.23373517872081936,33.41536582524272,37.50436843615495,multiple_testing_risk,Global,Global
color_spectrum,Brand_Linkage_T2B,3.748852231521782,4176,515,***,2.2955778461201495e-08,0.26276633190368687,50.71263359223301,54.4614858237548,multiple_testing_risk,Global,Global
color_spectrum,Uniqueness_T2B,2.3953621408510872,4176,515,**,0.0033293476578683274,0.15008515493596103,55.24139106796117,57.63675320881225,multiple_testing_risk,Global,Global
color_spectrum,Shareability_T2B,1.9370412977431695,4169,515,*,0.023946507199801337,0.1110091747832884,42.29037611650485,44.22741741424802,multiple_testing_risk,Global,Global
color_spectrum,SCD_score,8.917512542998567,3973,435,***,1.3069103445189285e-12,0.3602661430468717,41.880735632183914,50.79824817518248,multiple_testing_risk,Global,Global
tone,Attention_T2B,2.9361878994801582,1568,3123,***,1.47777019850524e-09,0.18703362672313825,58.480088248479035,61.416276147959195,multiple_testing_risk,Global,Global
tone,Persuasion_T2B,1.8618927232204152,1568,3123,***,0.0004354710083801567,0.10893007282376399,54.38740153698366,56.249294260204074,multiple_testing_risk,Global,Global
tone,Likeability_Love_Like_T2B,3.2982411894837194,1568,3123,***,2.8547923489378523e-09,0.1906496427005222,55.2345176753122,58.53275886479592,multiple_testing_risk,Global,Global
tone,Experience_Recall_T2B,2.4400387987582595,1572,3125,***,2.2836833447011224e-05,0.13601262602185246,36.23939561600001,38.67943441475827,multiple_testing_risk,Global,Global
tone,Brand_Linkage_T2B,1.5514416118152297,1568,3123,***,0.00048274721380649725,0.10813257379272162,53.53133887287864,55.08278048469387,multiple_testing_risk,Global,Global
tone,Uniqueness_T2B,3.5923160759008366,1568,3123,***,1.7106695016612525e-13,0.22772401331574485,56.17302199807877,59.7653380739796,multiple_testing_risk,Global,Global
